fecha,producto,region,cantidad,precio_unitario,vendedor,venta_total
2023-01-01,Monitor,Sur,3,194.9636279361042,vendedor 11,584.8908838083125
2023-01-01,Auriculares,Centro,4,257.15688598681413,vendedor 3,1028.6275439472565
2023-01-01,Mouse,Centro,2,1096.8982197868959,vendedor 6,2193.7964395737918
2023-01-01,Mouse,Oeste,5,945.348188960189,vendedor 12,4726.740944800945
2023-01-01,Laptop,Norte,3,937.1866973474503,vendedor 10,2811.560092042351
2023-01-01,Auriculares,Oeste,4,581.2246727758529,vendedor 15,2324.8986911034117
2023-01-01,Mouse,Este,4,795.6399356997368,vendedor 3,3182.5597427989474
2023-01-01,Laptop,Este,5,703.2239153558373,vendedor 18,3516.119576779187
2023-01-01,Auriculares,Norte,4,866.7679158760319,vendedor 9,3467.0716635041276
2023-01-01,Mouse,Centro,2,1042.1378884426276,vendedor 15,2084.2757768852553
2023-01-01,Auriculares,Oeste,5,1258.1326220174383,vendedor 3,6290.663110087191
2023-01-01,Mouse,Norte,4,314.2423272926904,vendedor 4,1256.9693091707616
2023-01-02,Mouse,Oeste,5,1455.89771025861,vendedor 12,7279.4885512930505
2023-01-02,Mouse,Sur,4,916.9549692760735,vendedor 16,3667.819877104294
2023-01-02,Monitor,Oriente,4,115.5795689202802,vendedor 8,462.3182756811208
2023-01-02,Laptop,Centro,2,832.5535919641657,vendedor 13,1665.1071839283313
2023-01-02,Laptop,Centro,5,158.0984333356677,vendedor 7,790.4921666783384
2023-01-02,Laptop,Norte,4,475.5578533411553,vendedor 11,1902.2314133646212
2023-01-02,Monitor,Norte,3,1195.7545337702481,vendedor 5,3587.2636013107444
2023-01-02,Mouse,Sur,1,1376.6915295384822,vendedor 9,1376.6915295384822
2023-01-03,Auriculares,Oriente,5,1107.928958590193,vendedor 8,5539.644792950965
2023-01-03,Mouse,Este,3,734.7116414848265,vendedor 5,2204.1349244544795
2023-01-03,Monitor,Oriente,3,1153.1383204945014,vendedor 14,3459.414961483504
2023-01-03,Monitor,Este,1,1080.4611900443917,vendedor 10,1080.4611900443917
2023-01-03,Auriculares,Centro,3,95.57231924576467,vendedor 7,286.716957737294
2023-01-03,Laptop,Oeste,5,787.4275021888191,vendedor 5,3937.137510944095
2023-01-03,Monitor,Centro,3,344.4387758654156,vendedor 13,1033.3163275962468
2023-01-03,Auriculares,Este,3,283.77086651830643,vendedor 2,851.3125995549193
2023-01-03,Mouse,Centro,1,202.9666767538924,vendedor 12,202.9666767538924
2023-01-03,Auriculares,Oeste,3,520.3002804576472,vendedor 7,1560.9008413729416
2023-01-03,Mouse,Norte,1,380.50598568581546,vendedor 20,380.50598568581546
2023-01-04,Mouse,Este,1,753.0034584705256,vendedor 1,753.0034584705256
2023-01-04,Monitor,Sur,4,403.98200725927256,vendedor 9,1615.9280290370903
2023-01-04,Auriculares,Norte,1,418.1773502047998,vendedor 12,418.1773502047998
2023-01-04,Mouse,Sur,3,486.273549234316,vendedor 17,1458.820647702948
2023-01-04,Auriculares,Norte,3,933.8682842708504,vendedor 2,2801.604852812551
2023-01-04,Auriculares,Oriente,5,550.3533096386903,vendedor 1,2751.766548193452
2023-01-04,Monitor,Oriente,2,819.8551458098477,vendedor 6,1639.7102916196955
2023-01-04,Auriculares,Oeste,3,585.9989612890365,vendedor 17,1757.9968838671095
2023-01-05,Auriculares,Sur,3,1233.8262161681066,vendedor 16,3701.4786485043196
2023-01-05,Laptop,Norte,4,786.888226274042,vendedor 16,3147.552905096168
2023-01-05,Laptop,Este,4,522.640412542733,vendedor 4,2090.561650170932
2023-01-05,Monitor,Sur,3,1223.7765169025874,vendedor 20,3671.3295507077623
2023-01-05,Auriculares,Oeste,1,1051.8597202485757,vendedor 7,1051.8597202485757
2023-01-05,Mouse,Norte,3,544.5462090228748,vendedor 18,1633.6386270686244
2023-01-05,Monitor,Oriente,2,424.0153601869756,vendedor 16,848.0307203739512
2023-01-05,Mouse,Norte,4,817.9933386162094,vendedor 2,3271.9733544648375
2023-01-05,Laptop,Oriente,4,859.5255077302915,vendedor 9,3438.102030921166
2023-01-05,Laptop,Este,3,1102.6357343618472,vendedor 3,3307.9072030855414
2023-01-05,Auriculares,Oriente,1,980.9458869237172,vendedor 11,980.9458869237172
2023-01-05,Laptop,Oeste,4,891.9956010828593,vendedor 16,3567.982404331437
2023-01-06,Laptop,Sur,2,754.1399427000285,vendedor 3,1508.279885400057
2023-01-06,Auriculares,Centro,1,305.0916163821508,vendedor 4,305.0916163821508
2023-01-06,Laptop,Oriente,5,309.2929283709268,vendedor 8,1546.464641854634
2023-01-06,Monitor,Este,1,496.68814818596434,vendedor 16,496.68814818596434
2023-01-06,Auriculares,Este,3,972.6822963695483,vendedor 14,2918.046889108645
2023-01-07,Laptop,Oeste,1,333.10233230716454,vendedor 16,333.10233230716454
2023-01-07,Monitor,Oeste,3,1164.403320744148,vendedor 17,3493.209962232444
2023-01-07,Auriculares,Oeste,5,455.36249560529996,vendedor 6,2276.8124780265
2023-01-07,Monitor,Oeste,1,1431.9541781847322,vendedor 17,1431.9541781847322
2023-01-07,Mouse,Centro,3,1471.4807963882663,vendedor 20,4414.442389164798
2023-01-07,Monitor,Centro,5,326.82099516800173,vendedor 1,1634.1049758400086
2023-01-07,Auriculares,Este,2,857.3618305646078,vendedor 3,1714.7236611292155
2023-01-07,Auriculares,Oriente,2,941.7604787137961,vendedor 2,1883.5209574275923
2023-01-07,Monitor,Este,2,1322.1909542955354,vendedor 17,2644.381908591071
2023-01-08,Mouse,Centro,2,1223.5736754438446,vendedor 3,2447.1473508876893
2023-01-08,Mouse,Norte,5,168.31156158034852,vendedor 7,841.5578079017426
2023-01-08,Laptop,Oeste,5,331.69723259246126,vendedor 8,1658.4861629623063
2023-01-08,Auriculares,Oriente,4,1335.594865978457,vendedor 15,5342.379463913828
2023-01-08,Auriculares,Sur,2,685.7874783762261,vendedor 19,1371.5749567524522
2023-01-08,Laptop,Sur,5,1266.453578000577,vendedor 17,6332.267890002885
2023-01-08,Auriculares,Sur,3,234.23774334523293,vendedor 1,702.7132300356988
2023-01-08,Auriculares,Centro,4,362.9404898704226,vendedor 5,1451.7619594816904
2023-01-08,Monitor,Oeste,5,331.8510492925659,vendedor 15,1659.2552464628295
2023-01-08,Monitor,Oeste,5,1455.8284573155306,vendedor 10,7279.142286577653
2023-01-08,Mouse,Este,1,628.290307094952,vendedor 19,628.290307094952
2023-01-08,Auriculares,Sur,2,86.75857795241339,vendedor 9,173.51715590482678
2023-01-08,Auriculares,Centro,1,301.27676410272636,vendedor 1,301.27676410272636
2023-01-08,Monitor,Sur,1,1007.2861962407103,vendedor 1,1007.2861962407103
2023-01-09,Monitor,Centro,5,658.4200905202954,vendedor 12,3292.1004526014767
